,Stock_A,Stock_B,Stock_C,Stock_D,Stock_E
2026-01-01,100.0,100.0,100.0,100.0,100.0
2026-01-02,99.80623109198086,102.0419351407624,101.25158189156468,99.49821496613829,101.0687108680523
2026-01-05,99.39726011218741,101.47715249581961,101.6739433820032,97.39140888829276,97.86409126482208
2026-01-06,98.89752853064522,100.22229433042413,102.21435956786242,96.4220427040014,95.32257300732296
2026-01-07,100.30405725155974,99.96934695143753,102.35916198090126,94.90463691200495,94.38250833076712
2026-01-08,100.4366401812002,98.56142055687056,103.00285378186888,94.28808409787275,93.89904852250751
2026-01-09,99.89446783775402,100.92058139567465,103.01723617101555,93.19129933394909,95.40603869309221
2026-01-12,98.77566180606141,101.21862475320731,99.92167156063753,91.82522164598196,95.79774891176606
2026-01-13,99.49445432321502,101.46960309204864,99.77498373840999,91.53905095649462,93.19319758963154
2026-01-14,98.84696402584854,100.91446067726648,101.48568770491856,91.92332355804332,90.17330129653011
2026-01-15,99.1771811730306,100.45793810985076,100.44491258963251,92.59020923757275,91.98214043015037
2026-01-16,100.08106892219239,99.4329379994951,99.99218061962014,92.96586991900259,93.72898564134144
2026-01-19,99.6561333097565,99.23212514486211,98.299705726708,91.74028397822045,95.21521642346548
2026-01-20,100.96901367109852,99.17361708500772,99.90076803715701,92.14422465651168,94.0969028000577
2026-01-21,101.34204296774661,101.14619259966125,99.87958886776723,93.82105121684934,89.58550992999871
2026-01-22,102.16002184114734,101.28932970242089,99.44538594817305,93.94622874803278,86.31548805757082
2026-01-23,101.9760048198402,101.77838239496784,101.82294122371368,93.42311599866773,85.03874199520345
2026-01-26,101.52135777667873,102.99167614453437,102.38753333609246,92.89081306060235,85.89999473515041
2026-01-27,101.64225169848187,104.28936704473247,101.29741027112516,92.57343930302937,85.29796559845151
2026-01-28,100.2736765063538,104.71240958950575,101.75055334846314,92.6059233082692,84.95267258184002
2026-01-29,98.96854119935826,104.1920117232461,101.23850805400262,91.79418892967232,84.7260642756884
2026-01-30,99.37422489673297,106.73153174861594,101.55298921730554,92.08961677229601,84.63884885269717
2026-02-02,97.61536475942624,106.72976182206976,101.68516708348689,94.7257235808432,84.36351919199046
2026-02-03,97.9206129906473,106.71696922587678,99.8659389562623,95.9893113779341,85.6031647504206
2026-02-04,98.68218617949817,105.5347663792672,102.13268410678717,94.50324812982655,86.5904727068774
2026-02-05,100.7734696686868,104.25901308750582,101.26153486652326,94.63780280616231,85.80282944778627
2026-02-06,99.33475884871004,104.38224417396368,99.6166277235945,95.17524663158349,84.3566363727916
